Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
"Population, total",SP.POP.TOTL,Albania,ALB,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689
"Population, total",SP.POP.TOTL,Algeria,DZA,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225
"Population, total",SP.POP.TOTL,American Samoa,ASM,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273
"Population, total",SP.POP.TOTL,Andorra,AND,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824
"Population, total",SP.POP.TOTL,Angola,AGO,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763
"Population, total",SP.POP.TOTL,Argentina,ARG,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
"Population, total",SP.POP.TOTL,Armenia,ARM,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469
"Population, total",SP.POP.TOTL,Aruba,ABW,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445
"Population, total",SP.POP.TOTL,Australia,AUS,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26005540
"Population, total",SP.POP.TOTL,Austria,AUT,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984
"Population, total",SP.POP.TOTL,Bahrain,BHR,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233
"Population, total",SP.POP.TOTL,Bangladesh,BGD,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372
"Population, total",SP.POP.TOTL,Barbados,BRB,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635
"Population, total",SP.POP.TOTL,Belarus,BLR,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071
"Population, total",SP.POP.TOTL,Belgium,BEL,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11685814
"Population, total",SP.POP.TOTL,Belize,BLZ,322106,329538,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272
"Population, total",SP.POP.TOTL,Benin,BEN,9445710,9726380,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864
"Population, total",SP.POP.TOTL,Bermuda,BMU,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63764,63532
"Population, total",SP.POP.TOTL,Bhutan,BTN,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455
"Population, total",SP.POP.TOTL,Bolivia,BOL,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526
"Population, total",SP.POP.TOTL,Botswana,BWA,2091664,2134037,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296
"Population, total",SP.POP.TOTL,Brazil,BRA,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,27556,27962,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122,31305
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,396053,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,16116845,16602651,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762
"Population, total",SP.POP.TOTL,Burundi,BDI,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,521212,527521,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149
"Population, total",SP.POP.TOTL,Cambodia,KHM,14363532,14573885,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842
"Population, total",SP.POP.TOTL,Cameroon,CMR,19878036,20448873,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536
"Population, total",SP.POP.TOTL,Canada,CAN,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,54074,55492,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4660067,4732022,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144
"Population, total",SP.POP.TOTL,Chad,TCD,11894727,12317730,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,17723315
"Population, total",SP.POP.TOTL,Channel Islands,CHI,156933,157819,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683,174079
"Population, total",SP.POP.TOTL,Chile,CHL,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733
"Population, total",SP.POP.TOTL,China,CHN,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
"Population, total",SP.POP.TOTL,Colombia,COL,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024
"Population, total",SP.POP.TOTL,Comoros,COM,656024,670071,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4437884,4584216,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542
"Population, total",SP.POP.TOTL,Croatia,HRV,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3855600
"Population, total",SP.POP.TOTL,Cuba,CUB,11290417,11298710,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191
"Population, total",SP.POP.TOTL,Curacao,CUW,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996
"Population, total",SP.POP.TOTL,Cyprus,CYP,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488
"Population, total",SP.POP.TOTL,Czechia,CZE,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118
"Population, total",SP.POP.TOTL,Denmark,DNK,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037
"Population, total",SP.POP.TOTL,Djibouti,DJI,919199,936811,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849
"Population, total",SP.POP.TOTL,Dominica,DMA,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821
"Population, total",SP.POP.TOTL,Ecuador,ECU,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103
"Population, total",SP.POP.TOTL,El Salvador,SLV,6114034,6137349,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908
"Population, total",SP.POP.TOTL,Eritrea,ERI,3147727,3207570,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032
"Population, total",SP.POP.TOTL,Estonia,EST,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840
"Population, total",SP.POP.TOTL,Ethiopia,ETH,89237791,91817929,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48410,48386,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090
"Population, total",SP.POP.TOTL,Fiji,FJI,905169,908355,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766
"Population, total",SP.POP.TOTL,Finland,FIN,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106
"Population, total",SP.POP.TOTL,France,FRA,65030575,65345233,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311
"Population, total",SP.POP.TOTL,French Polynesia,PYF,283788,285265,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032,306279
"Population, total",SP.POP.TOTL,Gabon,GAB,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1937275,1998212,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992
"Population, total",SP.POP.TOTL,Georgia,GEO,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502
"Population, total",SP.POP.TOTL,Germany,DEU,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985
"Population, total",SP.POP.TOTL,Ghana,GHA,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870
"Population, total",SP.POP.TOTL,Gibraltar,GIB,31262,31701,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649
"Population, total",SP.POP.TOTL,Greece,GRC,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919
"Population, total",SP.POP.TOTL,Greenland,GRL,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661
"Population, total",SP.POP.TOTL,Grenada,GRD,114039,114918,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438
"Population, total",SP.POP.TOTL,Guam,GUM,164905,165649,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774
"Population, total",SP.POP.TOTL,Guatemala,GTM,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886
"Population, total",SP.POP.TOTL,Guinea,GIN,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566
"Population, total",SP.POP.TOTL,Guyana,GUY,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726
"Population, total",SP.POP.TOTL,Haiti,HTI,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996
"Population, total",SP.POP.TOTL,Honduras,HND,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100
"Population, total",SP.POP.TOTL,Hungary,HUN,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048
"Population, total",SP.POP.TOTL,Iceland,ISL,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003
"Population, total",SP.POP.TOTL,India,IND,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173
"Population, total",SP.POP.TOTL,Indonesia,IDN,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570
"Population, total",SP.POP.TOTL,Iraq,IRQ,31264875,32378061,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122
"Population, total",SP.POP.TOTL,Ireland,IRL,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83828,84350,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263,84519
"Population, total",SP.POP.TOTL,Israel,ISR,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500
"Population, total",SP.POP.TOTL,Italy,ITA,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425
"Population, total",SP.POP.TOTL,Jamaica,JAM,2733896,2746169,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377
"Population, total",SP.POP.TOTL,Japan,JPN,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989
"Population, total",SP.POP.TOTL,Jordan,JOR,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988,19621972
"Population, total",SP.POP.TOTL,Kenya,KEN,41517895,42635144,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487
"Population, total",SP.POP.TOTL,Kiribati,KIR,107995,109871,111618,113311,114985,116707,118513,120362,122261,124241,126463,128874,131232
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,24686435,24783789,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117
"Population, total",SP.POP.TOTL,Kosovo,XKX,1775680,1791000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038,1761985
"Population, total",SP.POP.TOTL,Kuwait,KWT,2943356,3143825,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6773400,6974900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6323418,6416327,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475
"Population, total",SP.POP.TOTL,Latvia,LVA,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383
"Population, total",SP.POP.TOTL,Lebanon,LBN,4995800,5045056,5178337,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631,5489739
"Population, total",SP.POP.TOTL,Lesotho,LSO,2022747,2037677,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825
"Population, total",SP.POP.TOTL,Liberia,LBR,4019956,4181150,4331740,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416,5302681
"Population, total",SP.POP.TOTL,Libya,LBY,6491988,6188132,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277,6812341
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,35926,36189,36505,36806,37096,37355,37609,37889,38181,38482,38756,39039,39327
"Population, total",SP.POP.TOTL,Lithuania,LTU,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639
"Population, total",SP.POP.TOTL,Luxembourg,LUX,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,557297,571003,582766,593374,604167,615239,626688,638609,650991,663653,676283,686607,695168
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2055004,2058539,2061044,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092,2057679
"Population, total",SP.POP.TOTL,Madagascar,MDG,21731053,22348158,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714
"Population, total",SP.POP.TOTL,Malawi,MWI,14718422,15146094,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317
"Population, total",SP.POP.TOTL,Malaysia,MYS,28717731,29184133,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221
"Population, total",SP.POP.TOTL,Maldives,MDV,361575,374440,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787
"Population, total",SP.POP.TOTL,Mali,MLI,15529181,16039734,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590
"Population, total",SP.POP.TOTL,Malta,MLT,414508,416268,420028,425967,434558,445053,455356,467999,484630,504062,515332,518536,531113
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,53416,52971,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050,41569
"Population, total",SP.POP.TOTL,Mauritania,MRT,3419461,3524249,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139
"Population, total",SP.POP.TOTL,Mauritius,MUS,1250400,1252404,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523
"Population, total",SP.POP.TOTL,Mexico,MEX,112532401,114150481,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,107588,107887,108232,108609,109024,109462,109925,110430,110929,111379,112106,113131,114164
"Population, total",SP.POP.TOTL,Moldova,MDA,2862354,2860699,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2538894
"Population, total",SP.POP.TOTL,Monaco,MCO,33178,33945,34700,35425,36110,36760,37071,37044,37029,37034,36922,36686,36469
"Population, total",SP.POP.TOTL,Mongolia,MNG,2702520,2743938,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366
"Population, total",SP.POP.TOTL,Montenegro,MNE,619428,620079,620601,621207,621810,622159,622303,622373,622227,622028,621306,619211,617213
"Population, total",SP.POP.TOTL,Morocco,MAR,32464865,32903699,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971
"Population, total",SP.POP.TOTL,Mozambique,MOZ,23073723,23760421,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518
"Population, total",SP.POP.TOTL,Myanmar,MMR,49390988,49794522,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306
"Population, total",SP.POP.TOTL,Namibia,NAM,2099271,2132340,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151,2567012
"Population, total",SP.POP.TOTL,Nauru,NRU,10241,10283,10444,10694,10940,11185,11437,11682,11924,12132,12315,12511,12668
"Population, total",SP.POP.TOTL,Nepal,NPL,27161567,27266399,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580
"Population, total",SP.POP.TOTL,Netherlands,NLD,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982
"Population, total",SP.POP.TOTL,New Caledonia,NCL,249750,254350,259000,263650,268050,269460,270220,270810,271170,271240,271080,270390,269220
"Population, total",SP.POP.TOTL,New Zealand,NZL,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111400,5124100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5855734,5942553,6030607,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,6948392
"Population, total",SP.POP.TOTL,Niger,NER,16647543,17283112,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977
"Population, total",SP.POP.TOTL,Nigeria,NGA,160952853,165463745,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,54087,52520,52359,52141,51856,51514,51133,50729,50304,49858,49587,49481,49551
"Population, total",SP.POP.TOTL,Norway,NOR,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127
"Population, total",SP.POP.TOTL,Oman,OMN,2881914,3206870,3535579,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298
"Population, total",SP.POP.TOTL,Pakistan,PAK,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862
"Population, total",SP.POP.TOTL,Palau,PLW,18540,18240,17946,17805,17796,17794,17816,17837,17864,17916,17972,18024,18055
"Population, total",SP.POP.TOTL,Panama,PAN,3623617,3688674,3754862,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,4408581
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,7583269,7806637,8026545,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619
"Population, total",SP.POP.TOTL,Paraguay,PRY,5768613,5843939,5923322,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799,6780744
"Population, total",SP.POP.TOTL,Peru,PER,29229572,29477721,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588
"Population, total",SP.POP.TOTL,Philippines,PHL,94636700,96337913,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009
"Population, total",SP.POP.TOTL,Poland,POL,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,36821749
"Population, total",SP.POP.TOTL,Portugal,PRT,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10409704
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3221789
"Population, total",SP.POP.TOTL,Qatar,QAT,1713504,1804171,1905660,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122
"Population, total",SP.POP.TOTL,Romania,ROU,20246871,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19047009
"Population, total",SP.POP.TOTL,Russian Federation,RUS,142849468,142960908,143201721,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,144130482,144236933
"Population, total",SP.POP.TOTL,Rwanda,RWA,10309031,10576932,10840334,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698
"Population, total",SP.POP.TOTL,Samoa,WSM,194672,196351,198124,199939,201757,203571,205544,207630,209701,211905,214929,218764,222382
"Population, total",SP.POP.TOTL,San Marino,SMR,31608,32495,33132,33285,33389,33570,33834,34056,34156,34178,34007,33745,33660
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,182138,186044,189924,193757,197497,201124,204632,208036,211344,214599,218641,223107,227380
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,29411929,30150945,30821543,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820
"Population, total",SP.POP.TOTL,Senegal,SEN,12530121,12875880,13231833,13595566,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720,17316449
"Population, total",SP.POP.TOTL,Serbia,SRB,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449
"Population, total",SP.POP.TOTL,Seychelles,SYC,89770,87441,88303,89949,91359,93419,94677,95843,96762,97625,98462,99258,119878
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6436698,6612385,6788587,6964859,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641,8605718
"Population, total",SP.POP.TOTL,Singapore,SGP,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,34056,33435,34640,36607,37685,38825,39969,40574,40895,41608,42310,42668,42848
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752
"Population, total",SP.POP.TOTL,Slovenia,SVN,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2111986
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,540394,553721,567763,582365,597375,612660,628102,643634,659249,674993,691191,707851,724273
"Population, total",SP.POP.TOTL,Somalia,SOM,12026649,12216837,12440326,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511
"Population, total",SP.POP.TOTL,South Africa,ZAF,51784921,52443325,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885
"Population, total",SP.POP.TOTL,South Sudan,SSD,9714419,10243050,10701604,11106031,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272,10913164
"Population, total",SP.POP.TOTL,Spain,ESP,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47403,47581,47727,47767,47789,47790,47788,47785,47761,47712,47642,47606,47657
"Population, total",SP.POP.TOTL,St. Lucia,LCA,170935,172145,173124,173978,174804,175623,176413,177163,177888,178583,179237,179651,179857
